source_id,title,kind,canonical_url,stable_identifier,retrieved_on,license_name,license_class,page_equivalent,notes_path,sha256
holldobler-wilson-1990-the-ants,The Ants,paper,https://link.springer.com/book/9783540520924,ISBN:9783540520924,2026-08-25,Publisher copyright,REFERENCE_ONLY,732,research/source_notes/holldobler-wilson-1990-the-ants.md,
wehner-2020-desert-navigator,The Desert Navigator: The Journey of the Ant,paper,https://www.jstor.org/stable/j.ctvt9k633,DOI:10.4159/9780674247918,2026-08-25,Publisher copyright,REFERENCE_ONLY,400,research/source_notes/wehner-2020-desert-navigator.md,
wehner-1981-spatial-vision,Spatial vision in arthropods,paper,https://doi.org/10.1007/978-3-642-67868-4_4,DOI:10.1007/978-3-642-67868-4_4,2026-08-25,Publisher copyright,REFERENCE_ONLY,330,research/source_notes/wehner-1981-spatial-vision.md,
buehlmann-2013-multimodal-navigation-thesis,Flexible use of multiple cues: Multimodal navigation in the desert ant Cataglyphis,paper,https://pure.mpg.de/rest/items/item_1976847_4/component/file_3366464/content?download=true,MPI:item_1976847_4,2026-08-25,No redistribution license verified,REFERENCE_ONLY,87,research/source_notes/buehlmann-2013-multimodal-navigation-thesis.md,
grob-2022-learning-walks-thesis,The Function of Learning Walks of Cataglyphis Ants: Behavioral and Neuronal Analyses,paper,https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/29017,DOI:10.25972/OPUS-29017,2026-08-25,CC BY-SA 4.0 for thesis; included papers may differ,REDISTRIBUTABLE_RESEARCH_ONLY,153,research/source_notes/grob-2022-learning-walks-thesis.md,
huber-2018-cataglyphis-navigation-thesis,Navigational mechanisms of the desert ant Cataglyphis fortis,paper,https://opendata.uni-halle.de/handle/1981185920/14242,Halle:1981185920/14242,2026-08-25,No redistribution license verified,REFERENCE_ONLY,83,research/source_notes/huber-2018-cataglyphis-navigation-thesis.md,
fleischmann-2018-early-foraging-thesis,Starting foraging life: Early calibration and daily use of the celestial compass in Cataglyphis ants,paper,https://opus.bibliothek.uni-wuerzburg.de/frontdoor/index/index/docId/18023,Wuerzburg:OPUS-18023,2026-08-25,Repository access; exact redistribution terms not reverified,REFERENCE_ONLY,160,research/source_notes/fleischmann-2018-early-foraging-thesis.md,
wild-2004-linepithema-taxonomy,"Taxonomy and Distribution of the Argentine Ant, Linepithema humile (Hymenoptera: Formicidae)",paper,https://doi.org/10.1603/0013-8746(2004)097[1204:TADOTA]2.0.CO;2,DOI:10.1603/0013-8746(2004)097[1204:TADOTA]2.0.CO;2,2026-08-25,Publisher copyright,REFERENCE_ONLY,12,research/source_notes/wild-2004-linepithema-taxonomy.md,
antweb-2026-about-license,AntWeb: About / reuse and citation guidance,museum,https://www.antweb.org/about.do,AntWeb:v8.114:about,2026-08-25,Creative Commons Attribution for AntWeb content; item-level exceptions,REDISTRIBUTABLE_AND_SHIPPABLE,3,research/source_notes/antweb-2026-about-license.md,
antweb-2026-api,AntWeb API Version 3.1,museum,https://www.antweb.org/api.do,AntWeb:API:v3.1,2026-08-25,AntWeb content CC Attribution; API data subject to AntWeb terms,REDISTRIBUTABLE_AND_SHIPPABLE,4,research/source_notes/antweb-2026-api.md,
msstate-linepithema-humile,Linepithema humile (Mayr) (the Argentine Ant),documentation,https://mem.org.msstate.edu/Researchtaxapages/Formicidaepages/genericpages/Line.humile.htm,MSU:Linepithema-humile,2026-08-25,Website terms not verified for redistribution,REFERENCE_ONLY,2,research/source_notes/msstate-linepithema-humile.md,
zollikofer-1994-speed-curvature,Stepping patterns in ants: I. Influence of speed and curvature,paper,https://doi.org/10.1242/jeb.192.1.95,DOI:10.1242/jeb.192.1.95,2026-08-25,The Company of Biologists copyright,REFERENCE_ONLY,12,research/source_notes/zollikofer-1994-speed-curvature.md,
zollikofer-1994-body-morphology,Stepping patterns in ants: II. Influence of body morphology,paper,https://doi.org/10.1242/jeb.192.1.107,DOI:10.1242/jeb.192.1.107,2026-08-25,The Company of Biologists copyright,REFERENCE_ONLY,12,research/source_notes/zollikofer-1994-body-morphology.md,
zollikofer-1994-load,Stepping patterns in ants: III. Influence of load,paper,https://doi.org/10.1242/jeb.192.1.119,DOI:10.1242/jeb.192.1.119,2026-08-25,The Company of Biologists copyright,REFERENCE_ONLY,9,research/source_notes/zollikofer-1994-load.md,
wahl-2015-cataglyphis-walk-run,Walking and running in the desert ant Cataglyphis fortis,paper,https://doi.org/10.1007/s00359-015-0999-2,DOI:10.1007/s00359-015-0999-2,2026-08-25,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,12,research/source_notes/wahl-2015-cataglyphis-walk-run.md,
seidl-wehner-2008-inclines,Walking on inclines: how do desert ants monitor slope and step length,paper,https://doi.org/10.1186/1742-9994-5-8,DOI:10.1186/1742-9994-5-8,2026-08-25,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,9,research/source_notes/seidl-wehner-2008-inclines.md,
pfeffer-2019-silver-ant-speed,"High-speed locomotion in the Saharan silver ant, Cataglyphis bombycina",paper,https://doi.org/10.1242/jeb.198705,DOI:10.1242/jeb.198705,2026-08-25,The Company of Biologists copyright,REFERENCE_ONLY,14,research/source_notes/pfeffer-2019-silver-ant-speed.md,
clifton-2020-uneven-substrates,Uneven substrates constrain walking speed in ants through modulation of stride frequency more than stride length,paper,https://doi.org/10.1098/rsos.192068,DOI:10.1098/rsos.192068,2026-08-25,CC BY 4.0,REDISTRIBUTABLE_AND_SHIPPABLE,13,research/source_notes/clifton-2020-uneven-substrates.md,
clifton-2020-vision,Vision does not impact walking performance in Argentine ants,paper,https://doi.org/10.1242/jeb.228460,DOI:10.1242/jeb.228460,2026-08-25,The Company of Biologists copyright,REFERENCE_ONLY,10,research/source_notes/clifton-2020-vision.md,
gravish-2013-confined-locomotion,"Climbing, falling and jamming during ant locomotion in confined environments",paper,https://arxiv.org/abs/1305.5860,arXiv:1305.5860,2026-08-25,arXiv access; underlying article rights not treated as app-shippable,REFERENCE_ONLY,9,research/source_notes/gravish-2013-confined-locomotion.md,
endlein-federle-2015-climbing,On Heels and Toes: How Ants Climb with Adhesive Pads and Tarsal Friction Hair Arrays,paper,https://doi.org/10.1371/journal.pone.0141269,DOI:10.1371/journal.pone.0141269,2026-08-25,CC BY,REDISTRIBUTABLE_AND_SHIPPABLE,16,research/source_notes/endlein-federle-2015-climbing.md,
