body_length_mm,ppi,body_length_px,calculation,source_ids,notes
2.0,96,7.559055118110,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
2.0,110,8.661417322835,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
2.0,144,11.338582677165,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
2.0,163,12.834645669291,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
2.0,218,17.165354330709,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
2.0,254,20.000000000000,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
2.5,96,9.448818897638,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
2.5,110,10.826771653543,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
2.5,144,14.173228346457,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
2.5,163,16.043307086614,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
2.5,218,21.456692913386,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
2.5,254,25.000000000000,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.0,96,11.338582677165,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.0,110,12.992125984252,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.0,144,17.007874015748,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.0,163,19.251968503937,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.0,218,25.748031496063,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.0,254,30.000000000000,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.5,96,13.228346456693,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.5,110,15.157480314961,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.5,144,19.842519685039,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.5,163,22.460629921260,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.5,218,30.039370078740,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
3.5,254,35.000000000000,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
4.0,96,15.118110236220,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
4.0,110,17.322834645669,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
4.0,144,22.677165354331,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
4.0,163,25.669291338583,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
4.0,218,34.330708661417,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
4.0,254,40.000000000000,mm / 25.4 * ppi,apple-nsscreen-backing-scale;microsoft-per-monitor-dpi,Physical-size conversion only; OS logical scaling is handled separately and physical PPI may require calibration.
