species,parameter_path,value,source,evidence_class,life_stage_match,experimental_context,runtime_permission,audit_note
Blattella germanica,species,Blattella germanica,,metadata,not_applicable,not_applicable,metadata,
Blattella germanica,life_stage,"first instar, ~24 h old",,metadata,not_applicable,not_applicable,metadata,
Blattella germanica,qualification,wave1_research_ready,,metadata,not_applicable,not_applicable,metadata,
Blattella germanica,physical.body_length_mm,3.0,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,physical.body_width_mm,2.0,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,physical.antenna_length_mm,3.0,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.central_speed_mm_s,11.0,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.peripheral_speed_mm_s,10.6,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.central_stop_hazard_s_inv,0.03,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.peripheral_stop_hazard_s_inv,0.08,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.peripheral_exit_hazard_s_inv,0.12,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.transport_mean_free_path_mm,23.2,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.peripheral_departure_angle_lognormal.geometric_mean_deg,36.6,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.peripheral_departure_angle_lognormal.geometric_sd,2.14,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.stop_mixture.short_state_probability,0.93,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.stop_mixture.short_mean_s,5.87,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.stop_mixture.long_mean_s,700.0,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.wall_follow_threshold_mm,5.0,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.stop_definition.max_displacement_mm_between_samples,0.1,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.stop_definition.min_duration_s,1.36,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.observed_sampling_s,0.68,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,movement.paper_model_dt_s,0.2,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,spatial_behavior.moving_time_peripheral_fraction_approx,0.5,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,spatial_behavior.stopping_time_peripheral_fraction_approx,0.8,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,spatial_behavior.ipsilateral_antenna_wall_contact,True,BLA-001,direct_exact_life_stage,target_stage_or_explicitly_limited,~24 h first-instar bounded arena; exact definitions from source,eligible_first_instar_baseline,
Blattella germanica,turning.adult_species_reference,Outside legs larger arcs; inside legs compensate by greater flexion/extension. Use only as qualitative species-level renderer prior until nymph gait is extracted.,BLA-003,direct_species_cross_stage,different_life_stage_adult_male,adult male courtship rotation,qualitative_renderer_reference_only,No numeric adult turning value may calibrate first-instar gait.
