source_id,taxon_or_scope,stage_or_form,title_or_role,doi_or_primary_url,evidence_use,directness
R8-LIP-001,Liposcelis bostrychophila,adult strains,Morphological and molecular characterization of a sexually reproducing colony,https://doi.org/10.1038/srep10429,body size/strain/reproduction context,direct target species
R8-LIP-002,Liposcelis bostrychophila,adult female,Acute lethal and behavioral sublethal responses of two stored-product psocids to surface insecticides,https://doi.org/10.1002/ps.1634,assay-conditioned movement anchor,direct target species + target stage; treatment context
R8-LIP-003,Liposcelis bostrychophila,egg-to-adult,Development and Reproduction as a Function of Temperature,https://doi.org/10.1603/0013-8746(2000)093[0261:DAROTP]2.0.CO;2,development timing,direct target species
BLA-001,Blattella germanica,~24 h first instar,A model of animal movements in a bounded space,https://doi.org/10.1016/S0022-5193(03)00277-7,body size + bounded locomotion + wall/periphery model,direct exact target stage
BLA-003,Blattella germanica,adult male,Rotational locomotion by the cockroach Blattella germanica,https://doi.org/10.1016/0022-1910(81)90058-5,qualitative turning geometry renderer prior,direct species different stage; qualitative only
R8-ORY-001,Oryzaephilus surinamensis,mated adult female,Response to Food Odor Emanating Through Consumer Packaging Films,https://doi.org/10.1603/0046-225X-33.1.75,surface-conditioned speed/distance,direct target species adult
R8-ORY-002,Oryzaephilus surinamensis,adult,The sublethal impacts of five insecticidal formulations on behavioral traits,https://doi.org/10.1002/ps.8262,untreated control walking/stopping/climbing timing,direct target species adult control
R8-ORY-003,Oryzaephilus surinamensis,adult,Purdue Stored Product Pests E-228,https://extension.entm.purdue.edu/publications/E-228/E-228.html,2.5 mm scale/flat crevice form/no recorded flight,direct species extension context
R8-CHE-001,Chelifer cancroides,adult,Locomotion in the pseudoscorpion Chelifer cancroides,https://doi.org/10.1242/jeb.243930,adult morphology/500-fps gait/microstops/speed maxima,direct target species adult
R8-CHE-002,Chelifer cancroides,adult + life history,Penn State Pseudoscorpions,https://extension.psu.edu/pseudoscorpions,7-9 mm extended span/life history/indoor and broad prey context,direct species extension context
R8-CHE-003,Chelifer cancroides,multiple cohorts,Predation behaviour against Varroa destructor with alternative Liposcelis entomophila prey,https://doi.org/10.1080/00218839.2025.2582286,predation/prey evidence,direct predator; direct V. destructor + L. entomophila prey
R8-CHE-004,Chelifer cancroides,adult,Journal of Experimental Biology Movie 2,https://movie.biologists.com/video/10.1242/jeb.243930/video-2,forward/backward/upside-down gait visual validation,direct target species adult high-speed video
